"ID","Type","Name","Documentation","Specialization"
"id-8fd1f70c","ArchimateModel","PSNModelMate","",""
"a2596a7e","BusinessActor","Ed Roberts","",""
"id-27000c2c","BusinessActor","Gerben Wierda","",""
"df4fc6a2","BusinessActor","Gerben Wierda, Mastering ArchiMate","",""
"c1843a1d","BusinessActor","Jean-Baptiste Sarrodie","",""
"d891fcdc","BusinessActor","Michael Herman","",""
"id-9b0155dd","BusinessActor","Michael Herman (Parallelspace), Ed Roberts (Elparazim)","",""
"id-4169afba","BusinessActor","Phil Beauvoir","",""
"id-568024e6","BusinessActor","Tom Graves","",""
"a24f2fb8","BusinessProcess","...","",""
"d75ec553","BusinessProcess","...","",""
"b59424a7","BusinessProcess","1. ArchiMate 3.0 Master Dataset Resolution Process","",""
"id-4066aab2","BusinessProcess","1. Listen & Learn","",""
"id-1da2da60","BusinessProcess","2. Derived Relations Analysis & Generation Process","",""
"id-8e24328b","BusinessProcess","2. Knowledge > New Designs","",""
"id-5b1d2ccc","BusinessProcess","3. Downstream Master Dataset Formatting Processes","",""
"id-29909279","BusinessProcess","3. Plan & Act","",""
"id-06a7d504","BusinessProcess","4. Transformative Change > New Outcomes","",""
"cb658344","BusinessProcess","Analyse","",""
"a29a315c","BusinessProcess","Collect","",""
"ce7d7f34","BusinessProcess","Discover","",""
"id-0befc6a9","BusinessProcess","Execute","",""
"id-823fa1db","BusinessProcess","Explore","",""
"id-0a8b491f","BusinessProcess","Model","",""
"bcc2e9dc","BusinessProcess","Operate","",""
"id-5da93703","BusinessProcess","Recommend","",""
"id-1a0c5c5c","BusinessProcess","Resource","",""
"d9a36e4a","BusinessProcess","Review & Approve","",""
"ae18b504","BusinessProcess","Schedule","",""
"id-25ac1146","BusinessProcess","Scope","",""
"id-6adead84","BusinessProcess","Synthesie","",""
"bba437eb","BusinessProcess","Verify","",""
"f426480c","ApplicationComponent",".NET Application Architecture","",""
"c25a9097","ApplicationComponent","Archi","",""
"b3c66cc5","ApplicationComponent","ASP/NET MVC Web App","",""
"id-549cf8b6","ApplicationComponent","AWS","",""
"id-332c0908","ApplicationComponent","Azure OMS","",""
"id-9f9d3be6","ApplicationComponent","Azure Resource Manager/Resource Groups","",""
"d6d28fa0","ApplicationComponent","CreatePrologList() VBA Macro","",""
"id-59cdc4a0","ApplicationComponent","Derivation.py Script (Gerben Wierda)","",""
"id-6ba2d0be","ApplicationComponent","EFF compatible modelers (e.g. BiZZdesign, SPARX EA)","",""
"f569f45a","ApplicationComponent","Linkurious Graph Visulization","",""
"id-4b529a88","ApplicationComponent","MAP Toolkit","",""
"id-7857e570","ApplicationComponent","Microsoft Power BI","",""
"id-90a047f0","ApplicationComponent","Microsoft PowerShell","",""
"id-695210ba","ApplicationComponent","ModelMate Desktop Apps","",""
"cfefdbca","ApplicationComponent","ModelMate HoloLens Application","",""
"id-93f6148f","ApplicationComponent","ModelMate Library","",""
"e46e1a2e","ApplicationComponent","ModelMate Mobile Apps","",""
"id-4fec7f2e","ApplicationComponent","ModelMate ModelMate Scanner","",""
"id-67e117db","ApplicationComponent","ModelMate ModelView 1","",""
"id-7d3dcfa1","ApplicationComponent","ModelMate ModelView 1 GUI Shell","",""
"d075ba0b","ApplicationComponent","ModelMate ModelView 2","",""
"ff2b4d0f","ApplicationComponent","ModelMate PowerShell Cmdlets","",""
