"ID","Type","Name","Documentation","Specialization"
"6e7a0fe5-4c63-4dd7-baa2-762070a8a4ea","ArchimateModel","(new model)","",""
"73da2071-4bac-489e-bd6b-dbb1246154b4","Artifact","","",""
"bcb3b7c4-920d-4ed5-b479-dbbf6fb35a94","Artifact","Agora","",""
"a58601bf-c048-48b8-9f74-e894cb919e09","Artifact","Argo","",""
"e9a30055-38b4-4990-aded-de78385edd29","Artifact","Argo","",""
"7b29f4ce-95db-41c5-b409-8f0e7a52724e","Artifact","Arka","",""
"90f13d1e-844e-4e2c-a293-7006ec540fc8","Artifact","Arka","",""
"0109587f-616b-45fb-a245-792febc03713","Artifact","Artifact","",""
"932da5d0-ef6d-42b8-b9f9-b1dd59546c1e","Artifact","Artifact","",""
"12dd085c-ba2b-4f7d-a2b8-716ccc6b43b9","Artifact","Botón Pago","",""
"a1645244-3ce2-44ac-b992-e24e0ab04fc8","Artifact","Docencia SARA","",""
"88ec4033-2584-44c7-b3ee-cc430a8a2007","Artifact","Encuestas UD","",""
"e9ce4c91-f5db-454c-92fb-1c88021917ad","Artifact","Encuestas UDistrital","",""
"99bb9def-af46-41df-b9d6-58b2a2a218ac","Artifact","GEFAD - TEMIS","",""
"98c46f02-8c44-4f14-ae45-25f4f041e377","Artifact","JANO","",""
"fbc4a555-c65e-4b0b-af01-f6e6159c1238","Artifact","JANO","",""
"215d33b6-db28-4bd9-9142-b3bfd862093b","Artifact","Kyron","",""
"01f2ec05-c558-437f-87f6-7ac3fb97c9a0","Artifact","Kyron","",""
"67f32969-76e4-40c8-a593-1d843c6360f6","Artifact","Recibos Pago UD","",""
"09e93f88-d561-47ef-8ebf-a8b53d9de8a4","Artifact","Reporte Pago UD","",""
"e38d4d74-9d64-4d93-aa7d-337343299b15","Artifact","Reporte Pagos","",""
"c2608b47-f181-46e6-965b-1aba82f3dfa3","Artifact","Reporte Pagos Place to pay","",""
"36ff5454-18fe-4c6e-8af8-4fc63cc2afba","Artifact","Reportes UDistrital (Reportico)","",""
"05b41f57-dc5b-46b8-a872-8662bc7f88bc","Artifact","SARA Académica","",""
"93fe9763-7f8a-42b2-9321-f194e0a137a8","Artifact","SARA Académica","",""
"2161bc07-08e4-4349-a511-c1cb3552803d","Artifact","SARA Administrativa","",""
"79b39390-7f5c-4c37-a4aa-94669142a3b4","Artifact","SARA Administrativa","",""
"c8a3c4f7-3228-43e1-830b-bf5dcb6ca327","Artifact","SARA Admisiones","",""
"5398b253-f032-400c-a1e6-689a0ff3d07d","Artifact","Servicios Académicos","",""
"8cdb9c4a-7da5-4ba0-9f17-e3936f16bede","Artifact","Udistrital","",""
"60926b1c-2059-4c91-807e-9efa0f5c0ac6","Artifact","Urano","",""
"89eb1b26-4912-4b6f-bb38-b411ece48405","Artifact","Urano","",""
"d4eb01c7-a38f-4cbd-ab6c-91bfdebe7341","Artifact","Urano Estudiantes","",""
"a69090dc-bc30-48bc-94b1-f0c23b8c70d5","Artifact","Ágora","",""
"106dacd3-7003-422a-bf01-0cf085feb2cf","DistributionNetwork","Distribution Network","",""
"c2709515-0c69-453f-ac8e-db108996c042","Node","Servidor Académica Estudiantes","",""
"edb21c95-016b-485b-9cf8-fab81ef936a8","Node","Servidor Académica Funcionarios","",""
"13058182-7abb-4685-9934-c1c1ea08a253","Node","Servidor Académica producción (Oracle)","",""
"c95d5752-1037-4afa-afec-c8e66457d666","Node","Servidor BD WSO2","",""
"10a2590d-e12f-4bf3-828f-8b543be6163e","Node","Servidor MySQL Estudiantes","",""
"46860aa0-cf7f-471d-bd0e-46ea0551cdaa","Node","Servidor MySQL Estudiantes (copy)","",""
"9786306a-f7e8-4861-964a-b6dd8fe96ab8","Node","Servidor MySQL Funcionarios","",""
"a5b3b84a-dc19-4642-9e29-9ef71a4f1db8","Node","Servidor Postgres Producción","",""
"24163a9a-5746-4bba-935a-56ff0ea7ed19","Node","Servidor WSO2","",""
"c87e4830-efc7-439b-8548-845897fd2257","Path","Path","",""
"d9ec331f-c513-4ee5-a51b-2d343d7e74b7","SystemSoftware","","",""
"52157855-6a0e-4e48-8733-2e96e35a2222","SystemSoftware","Sistema Gestión Académica","",""
"23da3c7a-f2bb-4d22-9296-bf0d8e989fe8","SystemSoftware","Sistema Gestión Académica","",""
"0866ecf0-63ab-4650-97bf-bfe7d295f498","SystemSoftware","WSO2 API Manager","",""
"d79896ed-dc35-49b8-8dbb-8a0616a020e5","SystemSoftware","WSO2 API Manager (copy)","",""
"5f18330d-828a-48aa-97d6-75e30de2f05f","SystemSoftware","WSO2 Identity Server","",""
"82335939-e15c-49cf-8c92-07e638176405","SystemSoftware","WSO2 Identity Server (copy)","",""
